"Rank","Player","REC_REC","REC_TGT","REC_YDS","REC_Y/R","REC_LG","REC_20+","REC_TD","RUSH_ATT","RUSH_YDS","RUSH_TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","128","184","1,809","14.1","64","28","8","4","24","1","0","17","240.6","14.2","100.0%"
"2","Davante Adams (LV)","100","180","1,516","15.2","60","24","14","3","-1","0","0","17","235.5","13.9","99.8%"
"3","Tyreek Hill (MIA)","119","170","1,710","14.4","64","25","7","7","32","1","0","17","222.2","13.1","100.0%"
"4","A.J. Brown (PHI)","88","145","1,496","17.0","78","23","11","0","0","0","2","17","211.6","12.4","99.9%"
"5","Stefon Diggs (HOU)","110","156","1,455","13.2","53","17","11","1","-3","0","0","17","211.2","12.4","98.1%"
"6","CeeDee Lamb (DAL)","107","156","1,359","12.7","39","24","9","10","47","0","0","17","194.6","11.4","100.0%"
"7","Jaylen Waddle (MIA)","75","117","1,356","18.1","84","21","8","3","26","0","1","17","184.2","10.8","97.2%"
"8","Amari Cooper (CLE)","78","132","1,160","14.9","55","18","9","0","0","0","0","17","169.0","9.9","92.6%"
"9","Amon-Ra St. Brown (DET)","106","146","1,161","11.0","49","11","6","9","95","0","0","16","161.6","10.1","100.0%"
"10","DeVonta Smith (PHI)","95","136","1,196","12.6","45","18","7","0","0","0","1","17","159.6","9.4","96.5%"
"11","Christian Kirk (JAC)","84","133","1,108","13.2","49","18","8","5","11","0","1","17","157.9","9.3","88.3%"
"12","Ja'Marr Chase (CIN)","87","134","1,046","12.0","60","13","9","5","8","0","2","13","155.4","12.0","99.9%"
"13","Tyler Lockett (SEA)","84","117","1,033","12.3","40","14","9","0","0","0","2","16","153.3","9.6","68.8%"
"14","Terry McLaurin (WAS)","77","120","1,191","15.5","52","16","5","7","29","0","0","17","152.0","8.9","89.4%"
"15","Brandon Aiyuk (SF)","78","114","1,015","13.0","54","17","8","2","23","0","1","17","149.8","8.8","98.5%"
"16","Mike Evans (TB)","77","127","1,124","14.6","63","19","6","0","0","0","0","15","148.4","9.9","99.0%"
"17","Tee Higgins (CIN)","75","110","1,042","13.9","59","14","7","0","0","0","0","15","148.2","9.9","93.6%"
"18","Jerry Jeudy (CLE)","67","100","972","14.5","67","14","6","4","40","0","0","15","137.2","9.1","49.9%"
"19","DK Metcalf (SEA)","90","141","1,048","11.6","54","11","6","0","0","0","2","17","136.8","8.0","98.4%"
"20","DJ Moore (CHI)","63","118","888","14.1","62","17","7","10","53","0","0","17","136.1","8.0","97.3%"
"21","Garrett Wilson (NYJ)","83","147","1,103","13.3","60","13","4","4","4","0","1","17","132.7","7.8","99.8%"
