"Rank","Player","REC_REC","REC_TGT","REC_YDS","REC_Y/R","REC_LG","REC_20+","REC_TD","RUSH_ATT","RUSH_YDS","RUSH_TD","FL","G","FPTS","FPTS/G","ROST"
"81","Tre Tucker (LV)","19","34","331","17.4","50","6","2","10","77","0","0","16","52.8","3.3","0.9%"
"82","Michael Thomas (FA)","39","64","448","11.5","31","4","1","0","0","0","0","10","50.8","5.1","0.8%"
"83","Robert Woods (HOU)","40","75","426","10.7","26","2","1","1","7","0","0","14","49.3","3.5","0.6%"
"84","Marvin Mims Jr. (DEN)","22","33","377","17.1","60","6","1","9","30","0","2","16","48.7","3.0","10.4%"
"85","A.T. Perry (NO)","12","18","246","20.5","44","5","4","0","0","0","0","10","48.6","4.9","0.6%"
"86","Darnell Mooney (ATL)","31","61","414","13.4","41","7","1","2","5","0","0","15","47.9","3.2","35.4%"
"87","KaVontae Turpin (DAL)","12","18","127","10.6","34","2","3","11","110","1","0","16","47.7","3.0","0.5%"
"88","Cedrick Wilson Jr. (NO)","22","38","296","13.5","31","5","3","0","0","0","0","15","47.6","3.2","0.1%"
"89","Chris Moore (ARI)","22","35","424","19.3","49","9","0","2","39","0","0","17","46.3","2.7","0.0%"
"90","Rashod Bateman (BAL)","32","56","367","11.5","29","2","1","1","18","0","0","16","44.5","2.8","9.6%"
"91","Zay Jones (ARI)","34","64","321","9.4","36","3","2","0","0","0","0","9","44.1","4.9","3.0%"
"92","Jonathan Mingo (CAR)","43","85","418","9.7","40","6","0","0","0","0","0","15","41.8","2.8","1.4%"
"93","Greg Dortch (ARI)","24","41","280","11.7","38","3","2","1","5","0","0","16","40.5","2.5","1.8%"
"94","DeVante Parker (FA)","33","55","394","11.9","30","6","0","0","0","0","0","13","39.4","3.0","0.1%"
"95","Isaiah Hodgins (NYG)","21","33","230","11.0","24","1","3","0","0","0","1","17","39.0","2.3","0.1%"
"96","Brandon Powell (MIN)","29","44","324","11.2","28","6","1","5","17","0","1","17","38.1","2.2","0.2%"
"97","Jake Bobo (SEA)","19","25","196","10.3","31","3","2","1","3","1","0","17","37.9","2.2","0.3%"
"98","Xavier Gipson (NYJ)","21","38","229","10.9","36","4","0","8","68","1","2","17","37.7","2.2","0.7%"
"99","Trenton Irwin (CIN)","25","32","316","12.6","32","7","1","0","0","0","0","16","37.6","2.4","0.1%"
"100","Jalin Hyatt (NYG)","23","40","373","16.2","58","7","0","0","0","0","0","17","37.3","2.2","2.4%"
"101","Allen Lazard (NYJ)","23","49","311","13.5","39","5","1","0","0","0","0","14","37.1","2.7","0.7%"
"102","Jalen Tolbert (DAL)","22","36","268","12.2","45","3","2","0","0","0","1","17","36.8","2.2","3.5%"
"103","Calvin Austin III (PIT)","17","30","180","10.6","72","1","1","11","57","1","0","17","35.7","2.1","0.7%"
"104","Andrei Iosivas (CIN)","15","25","116","7.7","16","0","4","0","0","0","0","16","35.6","2.2","1.4%"
"105","Marquez Valdes-Scantling (BUF)","21","42","315","15.0","46","5","1","0","0","0","1","16","35.5","2.2","0.7%"
"106","David Bell (CLE)","14","23","167","11.9","41","3","3","0","0","0","0","15","34.7","2.3","0.1%"
"107","Lil'Jordan Humphrey (DEN)","13","19","162","12.5","54","1","3","0","0","0","0","17","34.2","2.0","0.1%"
"108","Skyy Moore (KC)","21","38","244","11.6","54","3","1","3","23","0","0","14","32.7","2.3","0.7%"
"109","Jauan Jennings (SF)","19","33","265","13.9","31","4","1","0","0","0","0","13","32.5","2.5","0.8%"
"110","JuJu Smith-Schuster (FA)","29","47","260","9.0","37","3","1","0","0","0","0","11","32.0","2.9","0.7%"
"111","Mike Williams (NYJ)","19","26","249","13.1","49","4","1","1","3","0","0","3","31.2","10.4","55.9%"
"112","Braxton Berrios (MIA)","27","33","238","8.8","22","1","1","1","11","0","0","16","30.9","1.9","0.3%"
"113","Bo Melton (GB)","16","24","218","13.6","37","3","1","3","21","0","0","4","29.9","7.5","0.2%"
"114","Alex Erickson (FA)","16","29","232","14.5","27","4","1","0","0","0","0","8","29.2","3.7","0.0%"
"115","Olamide Zaccheaus (WAS)","10","20","164","16.4","34","4","2","0","0","0","0","17","28.4","1.7","0.1%"
"116","Scotty Miller (PIT)","11","16","161","14.6","56","2","2","0","0","0","0","17","28.1","1.7","0.1%"
"117","Allen Robinson II (NYG)","34","49","280","8.2","31","2","0","0","0","0","0","17","28.0","1.6","0.1%"
"118","Jamal Agnew (FA)","14","21","225","16.1","65","2","1","4","-2","0","1","11","26.3","2.4","0.0%"
"119","Kadarius Toney (KC)","27","38","169","6.3","18","0","1","11","31","0","0","13","26.0","2.0","0.8%"
"120","Julio Jones (FA)","11","19","74","6.7","22","1","3","0","0","0","0","11","25.4","2.3","0.1%"
"121","Mack Hollins (BUF)","18","30","251","13.9","45","3","0","0","0","0","0","13","25.1","1.9","0.2%"
"122","Deonte Harty (BAL)","15","21","150","10.0","43","2","1","4","0","0","1","16","25.0","1.6","0.1%"
"123","Ronnie Bell (SF)","6","13","68","11.3","20","1","3","0","0","0","0","16","24.8","1.6","0.1%"
"124","Ihmir Smith-Marsette (CAR)","8","10","51","6.4","18","0","0","8","74","1","0","17","24.5","1.4","0.1%"
"125","Treylon Burks (TEN)","16","30","221","13.8","70","4","0","5","18","0","0","11","23.9","2.2","1.4%"
"126","Hunter Renfrow (FA)","25","37","255","10.2","38","3","0","0","0","0","1","17","23.5","1.4","0.1%"
"127","Parker Washington (JAC)","16","21","132","8.3","19","0","2","0","0","0","1","9","23.2","2.6","0.1%"
"128","KhaDarel Hodge (ATL)","14","23","232","16.6","52","3","0","1","0","0","0","17","23.2","1.4","0.1%"
"129","Cedric Tillman (CLE)","21","44","224","10.7","23","1","0","1","8","0","0","14","23.2","1.7","0.8%"
"130","Dyami Brown (WAS)","12","23","168","14.0","35","2","1","1","0","0","0","17","23.0","1.4","0.1%"
"131","Jalen Reagor (NE)","7","23","138","19.7","39","3","0","1","17","0","0","11","21.5","2.0","0.1%"
"132","Van Jefferson (PIT)","20","43","209","10.5","46","1","0","1","4","0","0","17","21.3","1.3","0.9%"
"133","Derius Davis (LAC)","15","17","66","4.4","18","0","0","14","101","0","1","17","20.7","1.2","0.2%"
"134","Quez Watkins (PIT)","15","21","142","9.5","19","0","1","0","0","0","0","9","20.2","2.2","0.1%"
"135","Jamison Crowder (WAS)","16","20","159","9.9","26","1","1","0","0","0","1","17","19.9","1.2","0.1%"
"136","Tyler Scott (CHI)","17","32","168","9.9","30","1","0","7","41","0","1","17","18.9","1.1","0.2%"
"137","Robbie Chosen (SF)","4","6","126","31.5","68","2","1","0","0","0","0","9","18.6","2.1","0.0%"
"138","Malik Heath (GB)","15","24","125","8.3","16","0","1","0","0","0","0","13","18.5","1.4","0.1%"
"139","River Cracraft (MIA)","9","12","121","13.4","24","2","1","0","0","0","0","10","18.1","1.8","0.1%"
"140","Deven Thompkins (FA)","17","25","83","4.9","26","1","1","8","56","0","1","17","17.9","1.1","0.0%"
"141","Ray-Ray McCloud III (ATL)","12","15","135","11.3","41","2","0","3","30","0","0","12","16.5","1.4","0.7%"
"142","John Metchie III (HOU)","16","30","158","9.9","22","1","0","1","4","0","0","16","16.2","1.0","0.3%"
"143","Kyle Philips (TEN)","15","22","181","12.1","29","4","0","0","0","0","1","9","16.1","1.8","0.0%"
"144","Donovan Peoples-Jones (DET)","13","25","155","11.9","29","2","0","0","0","0","0","15","15.5","1.0","0.3%"
"145","David Moore (CAR)","5","7","94","18.8","52","1","1","0","0","0","0","7","15.4","2.2","0.1%"
"146","Jalen Guyton (LV)","10","21","89","8.9","18","0","1","0","0","0","0","8","14.9","1.9","0.1%"
"147","Trent Sherfield Sr. (MIN)","11","22","86","7.8","12","0","1","0","0","0","0","17","14.6","0.9","0.1%"
"148","Tyquan Thornton (NE)","13","23","91","7.0","15","0","0","3","51","0","0","9","14.2","1.6","0.1%"
"149","Byron Pringle (WAS)","14","22","161","11.5","26","1","0","0","0","0","1","16","14.1","0.9","0.0%"
"150","Terrace Marshall Jr. (CAR)","19","33","139","7.3","14","0","0","0","0","0","0","9","13.9","1.5","0.1%"
"151","Xavier Hutchinson (HOU)","8","19","90","11.3","34","1","0","5","49","0","0","15","13.9","0.9","0.1%"
"152","Charlie Jones (CIN)","7","9","64","9.1","35","1","0","2","13","0","0","11","13.7","1.2","0.1%"
"153","Chase Claypool (FA)","8","21","77","9.6","20","1","1","0","0","0","0","11","13.7","1.2","0.2%"
"154","Ben Skowronek (HOU)","8","12","66","8.3","20","1","1","2","9","0","0","17","13.5","0.8","0.0%"
"155","Randall Cobb (FA)","5","17","39","7.8","15","0","1","0","0","0","0","11","11.9","1.1","0.0%"
"156","D.J. Montgomery (IND)","3","8","56","18.7","34","1","1","0","0","0","0","7","11.6","1.7","0.0%"
"157","Jason Brownlee (NYJ)","5","8","56","11.2","24","1","1","0","0","0","0","7","11.6","1.7","0.1%"
"158","Lynn Bowden Jr. (FA)","11","16","83","7.5","17","0","0","5","32","0","0","15","11.5","0.8","0.0%"
"159","Laviska Shenault Jr. (SEA)","10","10","60","6.0","14","0","0","12","55","0","0","8","11.5","1.4","0.1%"
"160","Mecole Hardman Jr. (KC)","15","24","124","8.3","37","1","0","1","3","0","1","10","10.7","1.1","0.2%"
"161","Parris Campbell (PHI)","20","27","104","5.2","17","0","0","0","0","0","0","12","10.4","0.9","0.2%"
"162","Sterling Shepard (TB)","10","22","57","5.7","13","0","1","1","6","0","1","15","10.3","0.7","0.1%"
"163","Marquise Goodwin (FA)","4","13","67","16.8","57","1","0","4","33","0","0","12","10.0","0.8","0.0%"
"164","Keith Kirkwood (BAL)","5","9","37","7.4","13","0","1","0","0","0","0","13","9.7","0.7","0.0%"
"165","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","9.6","1.1","0.0%"
"166","Richie James Jr. (FA)","10","14","114","11.4","45","1","0","0","0","0","1","9","9.4","1.0","0.0%"
"167","Tim Jones (JAC)","11","18","83","7.5","15","0","0","0","0","0","0","17","8.3","0.5","0.0%"
"168","Samori Toure (GB)","8","18","78","9.8","35","1","0","0","0","0","1","11","7.8","0.7","0.0%"
"169","Tylan Wallace (BAL)","1","2","11","11.0","11","0","0","0","0","0","0","9","7.1","0.8","0.1%"
"170","Velus Jones Jr. (CHI)","4","7","20","5.0","11","0","0","8","51","0","0","14","7.1","0.5","0.1%"
"171","Simi Fehoko (LAC)","1","2","9","9.0","9","0","1","0","0","0","0","5","6.9","1.4","0.0%"
"172","Chris Conley (SF)","3","6","69","23.0","48","1","0","0","0","0","0","8","6.9","0.9","0.0%"
"173","Tyler Johnson (LAR)","2","3","8","4.0","8","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"174","Jalen Brooks (DAL)","6","6","64","10.7","24","1","0","0","0","0","0","7","6.4","0.9","0.1%"
"175","Equanimeous St. Brown (NO)","5","6","62","12.4","21","1","0","0","0","0","0","7","6.2","0.9","0.1%"
"176","Rakim Jarrett (TB)","4","9","60","15.0","41","1","0","1","0","0","0","10","6.0","0.6","0.0%"
"177","DeAndre Carter (CHI)","4","7","39","9.8","16","0","0","3","18","0","0","17","5.7","0.3","0.1%"
"178","Isaiah McKenzie (NYG)","11","14","82","7.5","30","1","0","3","14","0","2","13","5.6","0.4","0.1%"
"179","Justyn Ross (KC)","6","11","53","8.8","20","1","0","0","0","0","0","10","5.3","0.5","0.1%"
"180","Mike Strachan (CAR)","1","3","45","45.0","45","1","0","0","0","0","0","4","4.5","1.1","0.0%"
"181","Britain Covey (PHI)","4","6","42","10.5","22","1","0","0","0","0","0","16","4.2","0.3","0.1%"
"182","Elijah Cooks (JAC)","3","4","38","12.7","23","1","0","0","0","0","0","9","3.8","0.4","0.0%"
"183","Devin Duvernay (JAC)","4","9","18","4.5","10","0","0","4","15","0","0","13","3.3","0.3","0.1%"
"184","Keelan Doss (FA)","6","13","33","5.5","9","0","0","0","0","0","0","5","3.3","0.7","0.0%"
