Position,Name,Prices
WR,"Christian Kirk, JACINJ",$9 
WR,"Terry McLaurin, WAS",$8 
WR,"Jayden Reed, GB",$8 
WR,"Diontae Johnson, CAR",$6 
WR,"Christian Watson, GB",$5 
WR,"Keenan Allen, CHI",$5 
WR,"DeAndre Hopkins, TENINJ",$4 
WR,"Xavier Worthy, KC",$4 
WR,"Jordan Addison, MININJ",$3 
WR,"Rome Odunze, CHI",$3 
WR,"Courtland Sutton, DEN",$2 
WR,"Hollywood Brown, KCINJ",$2 
WR,"Brian Thomas Jr., JAC",$1 
WR,"Jameson Williams, DET",$1 
WR,"Ladd McConkey, LAC",$1 
WR,"Jerry Jeudy, CLE",$1 
WR,"Jaxon Smith-Njigba, SEA",$0 
WR,"Tyler Lockett, SEA",$0 
WR,"Joshua Palmer, LAC",$0 
WR,"Curtis Samuel, BUF",$0 
WR,"Mike Williams, NYJ",$0 
WR,"Khalil Shakir, BUF",$0 
WR,"Gabe Davis, JAC",$0 
WR,"Brandin Cooks, DAL",$0 
WR,"Jakobi Meyers, LV",$0 
WR,"Keon Coleman, BUF",$0 
WR,"Romeo Doubs, GB",$0 
WR,"Rashid Shaheed, NO",$0 
WR,"Darnell Mooney, ATL",$0 
WR,"DeMario Douglas, NE",$0 
WR,"Adam Thielen, CAR",$0 
WR,"Dontayvion Wicks, GB",$0 
WR,"Ja'Lynn Polk, NE",$0 
WR,"Adonai Mitchell, IND",$0 
WR,"Michael Wilson, ARI",$0 
WR,"Demarcus Robinson, LAR",$0 
WR,"Josh Downs, IND",$0 
WR,"DJ Chark Jr., LAC",$0 
WR,"Rashod Bateman, BAL",$0 
WR,"Xavier Legette, CAR",$0 
WR,"Wan'Dale Robinson, NYG",$0 
WR,"Kendrick Bourne, NE",$0 
WR,"Tim Patrick, DEN",$0 
WR,"Darius Slayton, NYG",$0 
WR,"Malachi Corley, NYJ",$0 
WR,"Odell Beckham Jr., MIA",$0 
WR,"Ricky Pearsall, SF",$0 
WR,"Jalen McMillan, TB",$0 
WR,"Quentin Johnston, LAC",$0 
WR,"Luke McCaffrey, WAS",$0 
WR,"Marvin Mims Jr., DEN",$0 
WR,"Jermaine Burton, CIN",$0 
WR,"Roman Wilson, PIT",$0 
WR,"Tyler Boyd, TEN",$0 
WR,"Jalin Hyatt, NYG",$0 
WR,"Jalen Tolbert, DAL",$0 
WR,"Tre Tucker, LV",$0 
WR,"Troy Franklin, DEN",$0 
WR,"Josh Reynolds, DEN",$0 
WR,"Jahan Dotson, PHI",$0 
WR,"Elijah Moore, CLE",$0 
WR,"Andrei Iosivas, CIN",$0 
WR,"Ray-Ray McCloud III, ATL",$0 
WR,"Zay Jones, ARI",$0 
WR,"Greg Dortch, ARI",$0 
WR,"Jonathan Mingo, CAR",$0 
WR,"Dyami Brown, WAS",$0 
TE,"Travis Kelce, KC",$24 
TE,"Sam LaPorta, DETINJ",$21 
TE,"Mark Andrews, BALINJ",$21 
TE,"George Kittle, SF",$16 
TE,"Kyle Pitts, ATL",$14 
TE,"Trey McBride, ARI",$14 
TE,"Dalton Kincaid, BUF",$12 
TE,"Jake Ferguson, DAL",$10 
TE,"David Njoku, CLEINJ",$10 
TE,"Evan Engram, JAC",$8 
TE,"Brock Bowers, LVINJ",$5 
TE,"Dallas Goedert, PHIINJ",$5 
TE,"Dalton Schultz, HOU",$4 
TE,"Pat Freiermuth, PIT",$3 
TE,"Taysom Hill, NO",$2 
TE,"T.J. Hockenson, MINPUP",$1 
TE,"Hunter Henry, NE",$0 
TE,"Tyler Conklin, NYJ",$0 
TE,"Cole Kmet, CHI",$0 
TE,"Cade Otton, TB",$0 
TE,"Luke Musgrave, GB",$0 
TE,"Juwan Johnson, NO",$0 
TE,"Chigoziem Okonkwo, TEN",$0 
TE,"Noah Fant, SEA",$0 
TE,"Isaiah Likely, BAL",$0 
TE,"Jonnu Smith, MIA",$0 
TE,"Hayden Hurst, LAC",$0 
TE,"Mike Gesicki, CIN",$0 
TE,"Ben Sinnott, WAS",$0 
TE,"Zach Ertz, WAS",$0 
TE,"Tucker Kraft, GB",$0
