"Rank","Player","RUSH_ATT","RUSH_YDS","RUSH_Y/A","RUSH_LG","RUSH_20+","RUSH_TD","REC_REC","REC_TGT","REC_YDS","REC_Y/R","REC_TD","FL","G","FPTS","FPTS/G","ROST"
"132","Jason Huntley (FA)","13","51","3.9","18","0","0","0","1","0","0","0","0","1","5.1","5.1","0.0%"
"133","Rodney Smith (FA)","0","0","0","0","0","0","5","5","48","9.6","0","0","1","4.8","4.8","0.0%"
"134","Wendell Smallwood (FA)","5","25","5.0","13","0","0","4","5","22","5.5","0","0","2","4.7","2.4","0.0%"
"135","Kalen Ballage (FA)","12","36","3.0","13","0","0","2","7","8","4.0","0","0","9","4.4","0.5","0.0%"
"136","Jakob Johnson (NYG)","0","0","0","0","0","0","4","5","43","10.8","0","0","7","4.3","0.6","0.0%"
"137","La'Mical Perine (PIT)","8","31","3.9","14","0","0","0","0","0","0","0","0","2","3.1","1.6","0.1%"
"138","Kylin Hill (FA)","10","24","2.4","8","0","0","1","2","5","5.0","0","0","8","2.9","0.4","0.0%"
"139","Dwayne Washington (DEN)","4","16","4.0","5","0","0","2","2","12","6.0","0","0","8","2.8","0.4","0.0%"
"140","Reggie Gilliam (BUF)","3","3","1.0","2","0","0","3","5","23","7.7","0","0","8","2.6","0.3","0.0%"
"141","Gabe Nabers (FA)","3","8","2.7","4","0","0","3","3","17","5.7","0","0","7","2.5","0.4","0.1%"
"142","Jaylen Samuels (FA)","5","9","1.8","3","0","0","3","4","14","4.7","0","0","3","2.3","0.8","0.0%"
"143","Scottie Phillips (FA)","6","13","2.2","4","0","0","2","3","9","4.5","0","0","3","2.2","0.7","0.0%"
"144","Patrick Laird (FA)","1","4","4.0","4","0","0","3","3","17","5.7","0","0","3","2.1","0.7","0.0%"
"145","Adam Prentice (NO)","3","5","1.7","2","0","0","3","3","16","5.3","0","0","5","2.1","0.4","0.0%"
"146","Raheem Mostert (MIA)","2","20","10.0","11","0","0","0","0","0","0","0","0","1","2.0","2.0","89.0%"
"147","Nick Bawden (FA)","0","0","0","0","0","0","1","1","20","20.0","0","0","1","2.0","2.0","0.0%"
"148","Darrynton Evans (BUF)","2","7","3.5","5","0","0","2","2","11","5.5","0","0","2","1.8","0.9","0.1%"
"149","Derek Watt (FA)","1","1","1.0","1","0","0","3","3","15","5.0","0","0","11","1.6","0.1","0.0%"
"150","Reggie Bonnafon (FA)","1","4","4.0","4","0","0","2","2","12","6.0","0","0","1","1.6","1.6","0.0%"
"151","Trey Ragas (FA)","1","9","9.0","9","0","0","2","2","6","3.0","0","0","1","1.5","1.5","0.0%"
"152","Anthony McFarland Jr. (FA)","3","3","1.0","3","0","0","1","1","11","11.0","0","0","3","1.4","0.5","0.0%"
"153","John Kelly Jr. (BAL)","2","13","6.5","11","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"154","Cam Akers (HOU)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","2","1.3","0.7","0.8%"
"155","Jacques Patrick (FA)","2","12","6.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"156","Mekhi Sargent (FA)","5","11","2.2","3","0","0","0","1","0","0","0","0","5","1.1","0.2","0.0%"
"157","Buddy Howell (FA)","5","11","2.2","4","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"158","Gary Brightwell (JAC)","1","4","4.0","4","0","0","1","1","6","6.0","0","0","7","1.0","0.1","0.0%"
"159","Ryan Nall (FA)","1","4","4.0","4","0","0","1","1","4","4.0","0","0","5","0.8","0.2","0.0%"
"160","Damarea Crockett (FA)","3","7","2.3","6","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"161","Jake Funk (DET)","2","5","2.5","6","0","0","0","0","0","0","0","0","5","0.5","0.1","0.0%"
"162","Devine Ozigbo (FA)","1","-3","-3.0","0","0","0","1","1","7","7.0","0","0","2","0.4","0.2","0.0%"
"163","Nathan Cottrell (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"164","Kirk Merritt (FA)","0","0","0","0","0","0","1","3","13","13.0","0","0","1","0.0","0.0","0.0%"
"165","Sewo Olonilua (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"166","Pooka Williams Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"167","J.K. Dobbins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","53.2%"
"168","LeVante Bellamy (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"169","Artavis Pierce (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Darius Bradwell (FA)","0","0","0","0","0","0","0","1","0","0","0","0","2","0.0","0.0","0.0%"
"171","Sandro Platzgummer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"172","Josh Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","B.J. Emmons (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Nick Ralston (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Tory Carter (FA)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.0%"
"176","Gerrid Doaks (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"177","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.1%"
"178","Spencer Brown (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"179","Nick Bellore (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","10","0.0","0.0","7.0%"
"180","Taiwan Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"181","Kenjon Barner (FA)","4","0","0.0","1","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"182","Cethan Carter (FA)","0","0","0","0","0","0","2","2","16","8.0","0","0","8","0.0","0.0","0.0%"
"183","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"184","Elijah McGuire (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"185","Tarik Cohen (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"186","Brian Hill (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"187","Brandin Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"188","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"189","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"190","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"191","Sutton Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"192","Darwin Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"193","Jason Cabinda (FA)","3","23","7.7","21","1","0","4","7","16","4.0","1","0","10","0.0","0.0","0.0%"
"194","Jordan Wilkins (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"195","Nate McCrary (GB)","1","-1","-1.0","0","0","0","0","0","0","0","0","0","1","-0.1","-0.1","0.0%"
"196","Khari Blasingame (CHI)","3","6","2.0","3","0","0","2","2","4","2.0","0","1","5","-1.0","-0.2","0.1%"
"197","Trenton Cannon (FA)","3","4","1.3","3","0","0","0","0","0","0","0","1","10","-1.6","-0.2","0.0%"
