"Rank","Player","REC_REC","REC_TGT","REC_YDS","REC_Y/R","REC_LG","REC_20+","REC_TD","RUSH_ATT","RUSH_YDS","RUSH_TD","FL","G","FPTS","FPTS/G","ROST"
"61","Luke Schoonmaker (DAL)","8","15","65","8.1","18","0","2","0","0","0","0","17","18.5","1.1","0.2%"
"62","MyCole Pruitt (PIT)","9","12","110","12.2","22","2","1","0","0","0","0","17","17.0","1.0","0.0%"
"63","Connor Heyward (PIT)","23","34","167","7.3","13","0","0","1","0","0","0","17","16.7","1.0","0.2%"
"64","Lucas Krull (DEN)","8","14","95","11.9","35","1","1","0","0","0","0","7","15.5","2.2","0.1%"
"65","Irv Smith Jr. (KC)","18","26","115","6.4","14","0","1","0","0","0","1","12","15.5","1.3","0.2%"
"66","Luke Farrell (JAC)","13","15","155","11.9","42","2","0","0","0","0","0","17","15.5","0.9","0.1%"
"67","Davis Allen (LAR)","10","11","95","9.5","21","1","1","0","0","0","0","15","15.5","1.0","0.1%"
"68","Josh Whyle (TEN)","9","15","94","10.4","24","1","1","0","0","0","0","11","15.4","1.4","0.1%"
"69","Brock Wright (DET)","13","14","91","7.0","25","1","1","0","0","0","0","14","15.1","1.1","0.2%"
"70","John Bates (WAS)","19","28","151","7.9","35","1","0","0","0","0","0","17","15.1","0.9","0.0%"
"71","Jeremy Ruckert (NYJ)","16","22","151","9.4","23","1","0","0","0","0","0","15","15.1","1.0","0.2%"
"72","Charlie Kolar (BAL)","7","9","87","12.4","19","0","1","0","0","0","0","14","14.7","1.1","0.0%"
"73","Jordan Akins (CLE)","15","23","132","8.8","28","1","0","0","0","0","0","17","13.2","0.8","0.1%"
"74","Stephen Sullivan (FA)","12","24","125","10.4","20","1","0","0","0","0","0","11","12.5","1.1","0.0%"
"75","Cole Turner (WAS)","11","15","120","10.9","29","2","0","0","0","0","0","12","12.0","1.0","0.0%"
"76","C.J. Uzomah (PHI)","8","12","58","7.3","19","0","1","0","0","0","0","12","11.8","1.0","0.1%"
"77","Robert Tonyan (MIN)","11","17","112","10.2","24","1","0","0","0","0","0","17","11.2","0.7","0.0%"
"78","Brenton Strange (JAC)","5","9","35","7.0","17","0","1","0","0","0","0","14","9.5","0.7","0.1%"
"79","Geoff Swaim (FA)","10","11","94","9.4","26","1","0","0","0","0","0","14","9.4","0.7","0.0%"
"80","Marcedes Lewis (CHI)","4","5","29","7.3","16","0","1","0","0","0","0","17","8.9","0.5","0.1%"
"81","Quintin Morris (BUF)","2","3","26","13.0","15","0","1","0","0","0","0","15","8.6","0.6","0.0%"
"82","Ben Sims (GB)","4","6","21","5.3","12","0","1","0","0","0","0","16","8.1","0.5","0.1%"
"83","Brycen Hopkins (FA)","5","7","78","15.6","29","2","0","0","0","0","0","15","7.8","0.5","0.0%"
"84","Blake Bell (FA)","5","9","26","5.2","8","0","1","0","0","0","1","17","6.6","0.4","0.0%"
"85","Josiah Deguara (JAC)","8","8","65","8.1","19","0","0","0","0","0","0","15","6.5","0.4","0.0%"
"86","Ko Kieft (TB)","1","5","2","2.0","2","0","1","0","0","0","0","16","6.2","0.4","0.0%"
"87","Darnell Washington (PIT)","7","10","61","8.7","12","0","0","0","0","0","0","17","6.1","0.4","0.3%"
"88","Payne Durham (TB)","5","7","58","11.6","25","1","0","0","0","0","0","13","5.8","0.4","0.0%"
"89","Ian Thomas (CAR)","5","9","56","11.2","28","1","0","0","0","0","0","12","5.6","0.5","0.0%"
"90","Mitchell Wilcox (NE)","9","12","56","6.2","12","0","0","0","0","0","0","17","5.6","0.3","0.0%"
"91","Grant Calcaterra (PHI)","4","4","39","9.8","12","0","0","0","0","0","0","14","3.9","0.3","0.1%"
"92","Jack Stoll (NYG)","5","8","38","7.6","14","0","0","0","0","0","0","17","3.8","0.2","0.0%"
"93","Peyton Hendershot (DAL)","4","7","38","9.5","24","1","0","1","0","0","0","8","3.8","0.5","0.1%"
"94","Teagan Quitoriano (HOU)","2","3","33","16.5","22","1","0","0","0","0","0","7","3.3","0.5","0.0%"
"95","Charlie Woerner (ATL)","3","3","32","10.7","20","1","0","0","0","0","0","17","3.2","0.2","0.1%"
"96","James Mitchell (DET)","2","2","28","14.0","24","1","0","0","0","0","0","14","2.8","0.2","0.1%"
"97","Kenny Yeboah (NYJ)","2","4","28","14.0","20","1","0","0","0","0","0","5","2.8","0.6","0.0%"
"98","Julian Hill (MIA)","6","9","48","8.0","18","0","0","0","0","0","1","15","2.8","0.2","0.0%"
"99","Greg Dulcich (DEN)","3","4","25","8.3","13","0","0","0","0","0","0","2","2.5","1.3","1.4%"
"100","Nate Adkins (DEN)","4","5","22","5.5","11","0","0","0","0","0","0","10","2.2","0.2","0.0%"
"101","Nick Muse (MIN)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","0.0%"
"102","Trevon Wesco (FA)","1","3","21","21.0","21","1","0","0","0","0","0","15","2.1","0.1","0.0%"
"103","Chris Manhertz (NYG)","2","4","16","8.0","10","0","0","0","0","0","0","16","1.6","0.1","0.0%"
"104","Eric Saubert (SF)","3","3","12","4.0","5","0","0","0","0","0","0","8","1.2","0.2","0.0%"
"105","John FitzPatrick (ATL)","1","1","12","12.0","12","0","0","0","0","0","0","7","1.2","0.2","0.0%"
"106","Ross Dwelley (ATL)","1","2","12","12.0","12","0","0","0","0","0","0","12","1.2","0.1","0.0%"
"107","Tucker Fisk (LAC)","1","1","9","9.0","9","0","0","0","0","0","0","6","0.9","0.2","0.1%"
"108","Cole Fotheringham (LV)","1","1","6","6.0","6","0","0","0","0","0","0","2","0.6","0.3","0.0%"
"109","Kevin Rader (NO)","1","3","6","6.0","6","0","0","0","0","0","0","14","0.6","0.0","0.0%"
"110","Jesper Horsted (CAR)","1","1","4","4.0","4","0","0","0","0","0","0","5","0.4","0.1","0.0%"
"111","Nick Vannett (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","8","0.3","0.0","0.0%"
"112","Giovanni Ricci (CLE)","1","1","2","2.0","2","0","0","0","0","0","0","6","0.2","0.0","0.0%"
"113","Parker Hesse (DET)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"114","Matt Sokol (PIT)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"115","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Chris Myarick (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"118","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"119","Tommy Sweeney (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Tyree Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Zach Gentry (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Jody Fortson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Noah Togiai (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"125","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","0.0","0.0","0.0%"
"126","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Sean McKeon (DET)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"128","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tommy Hudson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"133","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"134","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"135","Joel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Henry Pearson (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"138","Griffin Hebert (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Patrick Murtagh (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"141","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"143","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Cade Stover (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"145","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","John Samuel Shenker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Chris Pierce Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Leroy Watson IV (TEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"149","Dallin Holker (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Jaheim Bell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"151","Kehinde Oginni (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Rodney Williams (PIT)","0","2","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"154","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Jordan Murray (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Jacob Warren (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Jack Westover (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Brenden Bates (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Devin Culp (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Luke Benson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Steven Stilianos (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Treyton Welch (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Mason Pline (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Alec Holler (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Thomas Yassmin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Tip Reiman (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"169","Neal Johnson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Kevin Foelsch (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Shawn Bowman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Lincoln Sefcik (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Mike Rigerman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Riley Sharp (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Qadir Ismail (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","David Martin-Robinson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Hayden Rucci (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Mason Fairchild (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Brevyn Spann-Ford (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Ben Sinnott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3%"
"183","Cam Grandy (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Zach Heins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","McCallan Castles (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Jared Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"188","AJ Barner (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"189","La'Michael Pettway (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Trey Knox (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Brock Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.9%"
"192","Austin Stogner (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Theo Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"194","Baylor Cupp (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Matt Bushman (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"196","Sammis Reyes (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Miller Forristall (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Tre' McKitty (BUF)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"199","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"200","Ja'Tavion Sanders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"201","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Tanner Conner (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"203","Armani Rogers (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"205","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"206","Erick All Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"207","Jacob Harris (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"208","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Josh Pederson (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"210","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"211","Hunter Kampmoyer (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Michael Jacobson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Sal Cannella (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Shane Zylstra (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Albert Okwuegbunam Jr. (PHI)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"217","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Jordan Matthews (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Hakeem Butler (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Jacob Hollister (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Darrell Daniels (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"232","Anthony Firkser (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"235","N'Keal Harry (MIN)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"236","Jordan Thomas (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Tyler Kroft (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"238","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"239","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"240","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"241","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"242","Stephen Anderson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"243","Eric Tomlinson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Geor'Quarius Spivey (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","David Wells (TB)","2","2","-10","-5.0","1","0","0","0","0","0","0","5","-1.0","-0.2","0.0%"
""
""
