"Rank","Player","REC_REC","REC_TGT","REC_YDS","REC_Y/R","REC_LG","REC_20+","REC_TD","RUSH_ATT","RUSH_YDS","RUSH_TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","107","153","1,361","12.7","43","20","9","1","0","0","0","17","194.1","11.4","99.8%"
"2","Travis Kelce (KC)","92","134","1,125","12.2","69","13","9","2","3","1","1","16","170.8","10.7","99.9%"
"3","Dalton Schultz (HOU)","78","104","808","10.4","32","6","8","0","0","0","0","17","130.8","7.7","77.1%"
"4","George Kittle (SF)","71","94","910","12.8","48","13","6","3","20","0","1","14","127.0","9.1","97.8%"
"5","Rob Gronkowski (FA)","55","88","802","14.6","42","16","6","0","0","0","0","12","116.2","9.7","1.5%"
"6","Dawson Knox (BUF)","49","71","587","12.0","53","8","9","0","4","0","0","15","115.1","7.7","3.8%"
"7","Hunter Henry (NE)","50","75","603","12.1","35","8","9","0","0","0","0","16","114.3","7.1","20.2%"
"8","Dallas Goedert (PHI)","56","76","830","14.8","45","14","4","0","0","0","0","15","109.0","7.3","86.6%"
"9","Kyle Pitts (ATL)","68","110","1,026","15.1","61","16","1","0","0","0","0","17","108.6","6.4","95.1%"
"10","Zach Ertz (WAS)","74","112","763","10.3","47","7","5","1","4","0","0","17","106.7","6.3","2.4%"
"11","Mike Gesicki (CIN)","73","112","780","10.7","40","12","2","0","0","0","0","17","92.0","5.4","3.3%"
"12","Pat Freiermuth (PIT)","60","79","497","8.3","24","2","7","0","0","0","1","16","91.7","5.7","69.2%"
"13","Noah Fant (SEA)","68","90","670","9.9","35","7","4","0","0","0","0","16","91.0","5.7","15.0%"
"14","Tyler Higbee (LAR)","61","85","560","9.2","37","3","5","0","0","0","0","15","86.0","5.7","1.4%"
"15","Jared Cook (FA)","48","83","564","11.8","42","7","4","0","0","0","0","16","84.4","5.3","0.0%"
"16","T.J. Hockenson (MIN)","61","84","583","9.6","33","8","4","0","0","0","0","12","84.3","7.0","80.4%"
"17","C.J. Uzomah (PHI)","49","63","493","10.1","55","7","5","0","0","0","0","16","79.3","5.0","0.1%"
"18","Darren Waller (FA)","55","93","665","12.1","33","13","2","0","0","0","0","11","78.5","7.1","4.7%"
"19","Tyler Conklin (NYJ)","61","87","593","9.7","40","4","3","0","0","0","0","17","77.3","4.5","15.5%"
"20","David Njoku (CLE)","36","53","475","13.2","71","8","4","1","1","0","0","15","71.6","4.8","92.1%"
"21","Gerald Everett (CHI)","48","63","478","10.0","41","5","4","3","20","0","2","15","69.8","4.7","1.3%"
"22","Cole Kmet (CHI)","60","93","612","10.2","25","7","0","1","0","0","0","17","61.2","3.6","65.2%"
"23","Evan Engram (JAC)","46","73","408","8.9","30","2","3","1","-3","0","1","15","56.5","3.8","95.3%"
"24","Mo Alie-Cox (IND)","24","45","316","13.2","37","5","4","0","0","0","0","17","55.6","3.3","0.1%"
"25","Foster Moreau (NO)","30","44","373","12.4","44","6","3","0","0","0","0","15","55.3","3.7","0.1%"
"26","Austin Hooper (NE)","38","61","345","9.1","34","4","3","0","0","0","0","15","54.5","3.6","0.2%"
"27","Jack Doyle (FA)","29","43","302","10.4","34","3","3","0","0","0","0","15","50.2","3.3","2.0%"
"28","Cameron Brate (FA)","30","57","245","8.2","18","0","4","0","0","0","0","16","48.5","3.0","2.0%"
