"Rank","Player","REC_REC","REC_TGT","REC_YDS","REC_Y/R","REC_LG","REC_20+","REC_TD","RUSH_ATT","RUSH_YDS","RUSH_TD","FL","G","FPTS","FPTS/G","ROST"
"29","Albert Okwuegbunam Jr. (PHI)","33","40","330","10.0","64","3","2","0","0","0","1","14","43.0","3.1","0.1%"
"30","Harrison Bryant (LV)","21","28","233","11.1","41","4","3","0","0","0","0","15","41.3","2.8","0.0%"
"31","Dan Arnold (FA)","35","52","408","11.7","28","2","0","0","0","0","1","11","40.8","3.7","0.0%"
"32","Juwan Johnson (NO)","13","22","159","12.2","27","3","4","0","0","0","0","13","39.9","3.1","6.3%"
"33","Jonnu Smith (MIA)","28","45","294","10.5","28","5","1","9","40","0","0","16","39.4","2.5","4.1%"
"34","Ricky Seals-Jones (FA)","30","49","271","9.0","39","1","2","0","0","0","0","11","39.1","3.6","0.0%"
"35","Anthony Firkser (NYJ)","34","43","291","8.6","24","1","2","0","0","0","1","15","39.1","2.6","0.0%"
"36","Geoff Swaim (FA)","31","40","210","6.8","26","2","3","0","0","0","0","16","39.0","2.4","0.0%"
"37","Donald Parham Jr. (LAC)","20","27","190","9.5","22","1","3","0","0","0","0","14","39.0","2.8","0.6%"
"38","Hayden Hurst (LAC)","26","31","221","8.5","33","1","3","0","0","0","1","12","38.1","3.2","1.5%"
"39","Ryan Griffin (FA)","27","42","261","9.7","29","4","2","0","0","0","0","14","38.1","2.7","0.0%"
"40","Jimmy Graham (FA)","14","23","167","11.9","28","2","3","0","0","0","0","11","36.7","3.3","0.0%"
"41","Josiah Deguara (JAC)","25","33","245","9.8","62","3","2","0","0","0","0","14","36.5","2.6","0.0%"
"42","Adam Trautman (DEN)","27","43","263","9.7","32","2","2","0","0","0","1","11","36.3","3.3","0.1%"
"43","Durham Smythe (MIA)","34","41","357","10.5","25","5","0","2","3","0","0","16","36.0","2.3","0.2%"
"44","Brevin Jordan (HOU)","20","28","178","8.9","27","2","3","0","0","0","0","8","35.8","4.5","0.2%"
"45","Logan Thomas (FA)","18","25","196","10.9","35","2","3","0","0","0","1","5","35.6","7.1","0.6%"
"46","MyCole Pruitt (PIT)","14","19","145","10.4","22","2","3","0","0","0","0","13","34.5","2.7","0.0%"
"47","Kyle Rudolph (FA)","26","39","257","9.9","60","3","1","0","0","0","0","15","33.7","2.2","0.0%"
"48","Tommy Tremble (CAR)","20","35","180","9.0","30","1","1","3","11","1","0","15","33.1","2.2","0.2%"
"49","Robert Tonyan (MIN)","18","29","204","11.3","33","4","2","0","0","0","0","8","32.4","4.1","0.0%"
"50","John Bates (WAS)","20","25","249","12.5","32","4","1","0","0","0","0","13","30.9","2.4","0.0%"
"51","Will Dissly (LAC)","21","26","231","11.0","39","5","1","0","0","0","0","13","29.1","2.2","0.2%"
"52","James O'Shaughnessy (FA)","24","34","244","10.2","30","5","0","0","0","0","0","7","26.4","3.8","0.0%"
"53","Maxx Williams (FA)","16","17","193","12.1","34","3","1","0","0","0","0","5","25.3","5.1","0.0%"
"54","Brock Wright (DET)","12","17","117","9.8","36","2","2","0","0","0","0","8","23.7","3.0","0.2%"
"55","Tyler Kroft (FA)","16","25","173","10.8","26","3","1","0","0","0","0","9","23.3","2.6","0.0%"
"56","Stephen Anderson (FA)","16","19","165","10.3","34","3","1","0","0","0","0","14","22.5","1.6","0.0%"
"57","Blake Jarwin (FA)","11","17","96","8.7","20","1","2","0","0","0","0","8","21.6","2.7","4.0%"
"58","Marcedes Lewis (CHI)","23","28","214","9.3","23","3","0","0","0","0","0","13","21.4","1.6","0.1%"
"59","Eric Ebron (FA)","12","18","84","7.0","19","0","1","1","1","1","0","8","20.5","2.6","0.0%"
"60","O.J. Howard (FA)","14","21","135","9.6","21","1","1","0","0","0","0","11","19.5","1.8","0.0%"
"61","Nick Vannett (TEN)","9","15","133","14.8","30","2","1","0","0","0","0","7","19.3","2.8","0.0%"
"62","Ian Thomas (CAR)","18","30","188","10.4","41","3","0","0","0","0","0","14","18.8","1.3","0.0%"
"63","Jordan Akins (CLE)","24","33","214","8.9","31","1","0","1","3","0","2","12","17.7","1.5","0.1%"
"64","Zach Gentry (LV)","19","25","167","8.8","25","2","0","0","0","0","0","10","16.7","1.7","0.0%"
"65","Pharaoh Brown (SEA)","23","34","171","7.4","29","2","0","0","0","0","1","13","15.1","1.2","0.1%"
"66","Jesper Horsted (CAR)","2","3","21","10.5","19","0","2","0","0","0","0","4","14.1","3.5","0.0%"
"67","Chris Manhertz (NYG)","6","9","71","11.8","22","1","1","0","0","0","0","10","13.1","1.3","0.0%"
"68","Lee Smith (FA)","9","11","65","7.2","22","1","1","0","0","0","0","10","12.5","1.3","0.0%"
"69","Jesse James (FA)","7","8","62","8.9","19","0","1","0","0","0","0","5","12.2","2.4","0.0%"
"70","Jacob Hollister (CAR)","9","14","55","6.1","11","0","1","0","0","0","0","7","11.5","1.6","0.0%"
"71","Ross Dwelley (ATL)","4","5","51","12.8","21","1","1","0","0","0","0","4","11.1","2.8","0.0%"
"72","Adam Shaheen (FA)","12","16","110","9.2","21","1","0","0","0","0","0","9","11.0","1.2","0.0%"
"73","Eric Saubert (SF)","8","12","47","5.9","11","0","1","0","0","0","0","10","10.7","1.1","0.0%"
"74","Antony Auclair (FA)","5","5","47","9.4","15","0","1","0","0","0","0","4","10.7","2.7","0.0%"
"75","Kylen Granson (IND)","11","15","106","9.6","27","1","0","0","0","0","0","10","10.6","1.1","0.2%"
"76","Tommy Sweeney (CHI)","9","12","44","4.9","13","0","1","0","0","0","0","7","10.4","1.5","0.0%"
"77","Chris Herndon IV (FA)","4","7","40","10.0","17","0","1","0","0","0","0","6","10.0","1.7","0.0%"
"78","Blake Bell (FA)","9","13","87","9.7","24","2","0","4","10","0","0","12","9.7","0.8","0.0%"
"79","Noah Gray (KC)","7","10","36","5.1","8","0","1","0","0","0","0","7","9.6","1.4","0.8%"
"80","Sean McKeon (DET)","4","6","27","6.8","12","0","1","0","0","0","0","5","8.7","1.7","0.0%"
"81","Tyree Jackson (NYG)","3","7","22","7.3","13","0","1","0","0","0","0","3","8.2","2.7","0.0%"
"82","Drew Sample (CIN)","11","15","81","7.4","19","0","0","0","0","0","0","10","8.1","0.8","0.1%"
"83","Chris Myarick (JAC)","3","6","17","5.7","10","0","1","0","0","0","0","5","7.7","1.5","0.0%"
"84","Josh Oliver (MIN)","9","15","66","7.3","19","0","0","0","0","0","0","11","6.6","0.6","0.2%"
"85","Luke Farrell (JAC)","7","11","56","8.0","21","1","0","0","0","0","0","9","5.6","0.6","0.1%"
"86","Charlie Woerner (ATL)","5","6","52","10.4","27","1","0","0","0","0","0","8","5.2","0.7","0.1%"
"87","Tre' McKitty (BUF)","6","8","45","7.5","12","0","0","0","0","0","0","6","4.5","0.8","0.0%"
"88","Darren Fells (FA)","4","5","43","10.8","24","1","0","0","0","0","0","3","4.3","1.4","0.0%"
"89","Parker Hesse (DET)","5","6","43","8.6","17","0","0","0","0","0","0","4","4.3","1.1","0.0%"
"90","Garrett Griffin (FA)","4","4","39","9.8","14","0","0","0","0","0","0","5","3.9","0.8","0.0%"
"91","Kendall Blanton (FA)","4","7","37","9.3","23","1","0","0","0","0","0","4","3.7","0.9","0.0%"
"92","Kenny Yeboah (NYJ)","2","3","36","18.0","24","1","0","0","0","0","0","3","3.6","1.2","0.0%"
"93","Tyler Davis (GB)","4","5","35","8.8","22","1","0","0","0","0","0","8","3.5","0.4","0.0%"
"94","Trevon Wesco (FA)","3","5","35","11.7","19","0","0","0","0","0","0","8","3.5","0.4","0.0%"
"95","Shane Zylstra (DET)","3","7","34","11.3","16","0","0","0","0","0","0","3","3.4","1.1","0.0%"
"96","Dominique Dafney (FA)","2","4","34","17.0","26","1","0","0","0","0","0","6","3.4","0.6","0.0%"
"97","Kaden Smith (FA)","3","3","33","11.0","21","1","0","0","0","0","0","4","3.3","0.8","0.0%"
"98","Colby Parkinson (LAR)","5","8","33","6.6","12","0","0","0","0","0","0","6","3.3","0.6","1.9%"
"99","Jeremy Sprinkle (FA)","3","3","31","10.3","11","0","0","0","0","0","0","6","3.1","0.5","0.0%"
"100","Tommy Hudson (NO)","3","6","31","10.3","14","0","0","0","0","0","0","4","3.1","0.8","0.0%"
"101","Daniel Brown (FA)","2","2","29","14.5","24","1","0","0","0","0","0","3","2.9","1.0","0.0%"
"102","Jack Stoll (NYG)","4","5","22","5.5","9","0","0","0","0","0","0","6","2.2","0.4","0.0%"
"103","Mitchell Wilcox (NE)","3","5","16","5.3","8","0","0","0","0","0","0","4","1.6","0.4","0.0%"
"104","Cethan Carter (FA)","2","2","16","8.0","8","0","0","0","0","0","0","8","1.6","0.2","0.0%"
"105","Derek Carrier (FA)","2","2","13","6.5","9","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"106","Luke Stocker (FA)","2","2","12","6.0","7","0","0","0","0","0","0","6","1.2","0.2","0.0%"
"107","Richard Rodgers (FA)","2","2","11","5.5","9","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"108","Demetrius Harris (FA)","3","6","10","3.3","7","0","0","0","0","0","0","10","1.0","0.1","0.0%"
"109","Johnny Mundt (MIN)","1","1","9","9.0","9","0","0","0","0","0","0","3","0.9","0.3","2.3%"
"110","Brycen Hopkins (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"111","Kevin Rader (NO)","2","3","8","4.0","7","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"112","Hunter Long (LAR)","1","3","8","8.0","8","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"113","Ethan Wolf (FA)","2","2","8","4.0","4","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"114","Eric Tomlinson (IND)","1","2","7","7.0","7","0","0","0","0","0","0","7","0.7","0.1","0.0%"
"115","Nick Boyle (FA)","1","2","2","2.0","2","0","0","0","0","0","0","2","0.2","0.1","0.0%"
"116","Jared Pinkney (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"117","Antonio Gandy-Golden (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Stephen Sullivan (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Noah Togiai (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Ben Ellefson (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"121","Giovanni Ricci (CLE)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"122","Rashod Berry (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"123","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"124","Jody Fortson Jr. (MIA)","5","5","47","9.4","27","1","2","0","0","0","0","4","0.0","0.0","0.0%"
"125","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"126","Farrod Green (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","Feleipe Franks (CAR)","0","0","0","0","0","0","0","3","6","0","0","6","0.0","0.0","0.0%"
"128","Briley Moore (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"129","Jacob Harris (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Sammis Reyes (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"131","Miller Forristall (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"132","Nick Ralston (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","Jake Hausmann (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"134","Deon Yelder (FA)","1","1","0","0.0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"135","Clark Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Darrell Daniels (FA)","1","4","0","0.0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"137","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"138","Taysom Hill (NO)","4","6","52","13.0","15","0","0","70","374","5","0","12","0.0","0.0","13.7%"
"139","Codey McElroy (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"140","N'Keal Harry (MIN)","12","22","184","15.3","43","3","0","0","0","0","1","10","0.0","0.0","0.0%"
"141","Colin Thompson (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"142","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"143","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"144","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"145","Daniel Helm (FA)","1","2","-1","-1.0","0","0","0","0","0","0","0","3","-0.1","0.0","0.0%"
""
""
